,Accident_Severity,light_Darkness - lights lit,light_Darkness - no lighting,light_Daylight,road_Dual carriageway,road_On/off ramp,road_One way street,road_Roundabout,road_Single carriageway,speed_Over 40 km/s,speed_Under 40 km/s,area_Rural,area_Urban,age_Adolescent,age_Adult,age_Senior,vehicle_Bike,vehicle_Car,vehicle_Goods,vehicle_Motorcycle
12433,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
12468,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
12480,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
12512,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
12526,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
12529,Fatal,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
12530,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
12572,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
12636,Fatal,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
12705,Fatal,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
12745,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
13158,Fatal,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
13178,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
13240,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
13267,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
13324,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
13422,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
13423,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
13440,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
13560,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
13569,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
13608,Fatal,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
13936,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
13960,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
13982,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
14022,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
14066,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
14073,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
14074,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
14199,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
14207,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
14304,Fatal,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
14403,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
14453,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
14521,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
14548,Fatal,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
14605,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
14615,Fatal,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
14793,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
14871,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
15005,Fatal,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
15202,Fatal,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
15240,Fatal,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
15436,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
15457,Fatal,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
15538,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
15622,Fatal,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
15630,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
15631,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
